gene|Hydrophob-Hydrophob|StrHydrophob-StrHydrophob|Aromatic-Aromatic|Hydrophil-Hydrophil|Hydrophob-Aromatic|Hydrophob-Charged|Hydrophob-NegCharged|Hydrophob-PosCharged|PosCharged-PosCharged|NegCharged-NegCharged|FF-FY-SY-TY-HC|FF-FY-SY-HC|FF|FY|TY|SY|HC|MR|Total
A0A385XJE6|11|7|3|5|7|10|5|5|1|0|1|1|0|1|0|0|0|0|36
A0A385XJL4|10|5|2|2|5|6|0|6|1|0|0|0|0|0|0|0|0|0|19
P00350|11|3|0|2|5|9|4|5|0|0|0|0|0|0|0|0|0|0|24
P00363|101|27|4|37|50|86|33|53|7|1|3|3|1|1|0|0|0|0|260
P00370|42|24|4|7|19|16|6|10|1|0|4|4|4|0|0|0|0|0|76
P00393|20|10|1|5|3|13|7|6|1|0|0|0|0|0|0|0|0|1|54
P00448|11|4|7|8|10|7|2|5|4|0|2|2|0|2|0|0|0|0|28
P00452|29|12|3|6|21|16|7|9|1|0|0|0|0|0|0|0|0|0|67
P00490|106|42|11|39|70|75|26|49|7|0|5|5|2|1|1|1|1|0|275
P00509|39|16|7|6|26|12|3|9|2|0|5|5|0|3|2|0|0|0|72
P00547|26|14|1|3|9|14|6|8|0|1|0|0|0|0|0|0|0|0|55
P00550|28|11|0|0|10|4|0|4|0|0|0|0|0|0|0|0|0|0|33
P00561|45|29|0|2|13|3|3|0|0|0|0|0|0|0|0|0|0|0|60
P00562|46|25|2|13|24|19|5|14|2|1|0|0|0|0|0|0|0|0|87
P00579|0|0|0|1|0|3|0|3|0|0|0|0|0|0|0|0|0|0|4
P00582|37|13|1|18|20|31|10|21|2|1|0|0|0|0|0|0|0|1|95
P00634|133|52|5|32|54|59|26|33|5|1|4|4|0|0|4|0|0|0|282
P00722|89|22|12|66|63|69|29|40|7|6|6|6|0|2|3|1|1|2|288
P00803|19|11|0|2|6|8|4|4|1|0|0|0|0|0|0|0|0|1|50
P00804|3|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|0|4
P00805|18|9|0|0|3|0|0|0|0|0|0|0|0|0|0|0|0|0|19
P00811|63|16|3|7|34|19|8|11|1|0|4|4|0|1|2|1|1|1|101
P00861|49|23|6|5|24|21|8|13|2|0|3|3|1|2|0|0|0|0|87
P00864|33|4|0|5|15|11|4|7|2|0|3|3|0|0|1|2|2|0|56
P00887|36|19|2|7|18|18|7|11|2|0|4|4|0|1|2|1|1|0|64
P00888|29|13|2|7|16|20|7|13|2|0|3|3|0|0|2|1|1|1|68
P00893|102|44|3|15|36|36|14|22|1|0|3|3|1|0|1|1|1|2|205
P00894|3|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3
P00895|106|47|10|36|48|45|16|29|8|0|12|12|5|4|0|2|2|0|233
P00903|4|2|1|0|4|2|0|2|0|0|0|0|0|0|0|0|0|0|8
P00904|64|44|1|5|13|23|4|19|3|0|1|1|0|1|0|0|0|1|109
P00909|28|12|4|7|19|19|5|14|1|0|2|2|0|2|0|0|0|1|60
P00914|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4
P00926|39|16|3|8|13|15|8|7|0|1|1|1|0|0|1|0|0|0|76
P00934|32|20|0|12|10|30|14|16|1|0|0|0|0|0|0|0|0|0|88
P00935|44|17|1|6|21|25|7|18|1|0|2|2|0|0|1|0|0|0|97
P00936|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|2
P00944|9|6|2|2|9|9|0|9|1|0|1|1|1|0|0|0|0|0|24
P00946|72|42|5|7|36|21|10|11|0|0|7|7|5|0|1|1|1|0|117
P00954|16|8|0|2|1|1|0|1|0|0|0|0|0|0|0|0|0|0|24
