gene,avgFractEntR_cut,avgFractNonEntR_cut,avgDiff,NumBuffEntR_cut
P23847,0.099502487562189,0.06333333333333334,0.0308639095971313,3
P0AE08,0.07165109034267907,0.041666666666666664,0.026674060585451936,3
P0CE48,0.0693215339233038,0.07539682539682534,-0.0059917580488714,3
P0A7A9,0.06666666666666667,0.04310344827586204,0.0210357122100899,3
P0A6Y8,0.060331825037707336,0.03037569944044757,0.0269952742862707,3
P23843,0.05502645502645496,0.03362573099415203,0.0193658096253943,3
P0A6M8,0.05333333333333334,0.04824561403508767,0.004338564320980933,3
P0A799,0.052083333333333294,0.025641025641025602,0.024508572089274733,3
P0AEK4,0.04800000000000001,0.024330900243309,0.02221093943703603,3
P0A858,0.046594982078852994,0.010288065843621368,0.034149248493650364,3
P23869,0.03883495145631067,0.0163934426229508,0.021258193713480766,3
P0AD61,0.037953795379537934,0.033582089552238736,0.004160445430200433,3
P08200,0.03626943005181347,0.01793721973094167,0.017056051788212897,3
P02358,0.0357142857142857,0.0,0.03439770600957443,3
P0AAI9,0.0347826086956521,0.0292096219931271,0.004717185888788367,3
P62707,0.0316301703163017,0.008849557522123868,0.021898576602263835,3
P0ADG7,0.026729559748427636,0.019323671497584533,0.007123121117141567,3
P77608,0.023474178403755833,0.020997375328083902,0.0022487168621060003,3
P37689,0.020496224379719468,0.008130081300812999,0.011928329996077602,3
P0A953,0.018207282913165233,0.023809523809523798,-0.0054004957132875,3
P0A9M8,0.018196856906534303,0.006430868167202533,0.0114882464350086,3
P04079,0.01709401709401703,0.0068728522336768995,0.009957553952623467,3
P16659,0.016339869281045732,0.0100250626566416,0.006055272782616733,3
P07395,0.0094161958568738,0.0075757575757575,0.0017571854764092908,3
P0A6F5,0.07239057239057234,0.0776892430278884,-0.00499255078965675,2
P0A8J4,0.06976744186046505,0.0,0.06344696969696965,2
P0AEK2,0.0571428571428571,0.0344827586206896,0.02029783289380245,2
P0A7Z4,0.0570175438596491,0.0209302325581395,0.0330791238175931,2
P0AA25,0.0542168674698795,0.0,0.049908424908424905,2
P45578,0.049019607843137254,0.01249999999999995,0.033650068262586846,2
P0A790,0.04838709677419349,0.0,0.045928030303030304,2
P0ABK5,0.04255319148936165,0.02840909090909085,0.013077859742082601,2
P0A763,0.0376344086021505,0.0,0.036243556701030896,2
P0AAC8,0.0344827586206896,0.0,0.0333333333333333,2
P63020,0.0344827586206896,0.0300751879699248,0.0040745989852555495,2
P0AB71,0.034313725490196054,0.031128404669260652,0.00302020294725265,2
P0A6B7,0.03345724907063195,0.0148148148148148,0.01767250044952965,2
P0ABP8,0.0308641975308641,0.0,0.029940119760479,2
P0A6A3,0.028688524590163897,0.0215827338129496,0.006926298935258351,2
P0A8L1,0.02789699570815445,0.015228426395939,0.012132369738699949,2
P0A8M0,0.02734375,0.007396449704141999,0.01916642070344905,2
P0ABB4,0.02643171806167395,0.0150214592274678,0.01088052530724295,2
P0AAX8,0.024096385542168648,0.022421524663677098,0.0017655468362163997,2
P0A862,0.0235849056603773,0.032258064516129,-0.0081587156353511,2
P45523,0.02352941176470585,0.0108108108108108,0.012277397451816,2
P27302,0.023230088495575153,0.01658767772511845,0.00645458641811975,2
P0A8V2,0.0217729393468118,0.02288984263233185,-0.00116380204719765,2
P04425,0.0214285714285714,0.0,0.020787478601124898,2
P23721,0.02073732718894005,0.00344827586206895,0.01688637748267075,2
P0A6Z3,0.019662921348314547,0.0067264573991031,0.012460475773879449,2
P0ADS6,0.0186567164179104,0.0,0.0183018462859596,2
P0A9P0,0.017587939698492448,0.0127272727272727,0.0046463955549349,2
P0A7E5,0.016286644951140048,0.012605042016806699,0.0035035291765212005,2
P36683,0.01486988847583635,0.01834862385321095,-0.0032540424284118004,2
P17169,0.0142857142857142,0.00669642857142855,0.00739709544650515,2
P60546,0.0129310344827586,0.0,0.01274808054469065,2
P0AF12,0.01249999999999995,0.03124999999999995,-0.01795590485478025,2
P07118,0.009290540540540449,0.00835654596100275,0.0008917974039155001,2
P0AES4,0.0061224489795918,0.00259740259740255,0.00350121336960335,2
P04128,0.238095238095238,0.0714285714285714,0.1256410256410256,1
P69783,0.116504854368932,0.0454545454545454,0.0608695652173913,1
P0A6P1,0.1153846153846153,0.0692640692640692,0.0386709479268462,1
P0AGD3,0.0963855421686747,0.0636363636363636,0.028083028083028,1
P0A850,0.0864197530864197,0.074074074074074,0.0105799373040752,1
P61949,0.0793650793650793,0.0176991150442477,0.0561381074168798,1
P0AFG0,0.0657894736842105,0.0,0.0617283950617283,1
P0ABU2,0.064516129032258,0.0299003322259136,0.0315738025415444,1
P0A955,0.0609756097560975,0.0687022900763358,-0.0068144499178981,1
P0A7V0,0.0588235294117647,0.0245901639344262,0.0315555555555555,1
P0AAI5,0.058252427184466,0.0338164251207729,0.0223355911858012,1
P0A910,0.0571428571428571,0.0217391304347826,0.0327774583093732,1
P0A825,0.0550847457627118,0.0220994475138121,0.0305872137197438,1
P0AFK9,0.053763440860215,0.0185185185185185,0.0328385899814471,1
P61714,0.0512820512820512,0.0769230769230769,-0.0226480836236933,1
P08839,0.0507246376811594,0.0160183066361556,0.0325100963031997,1
P0AF93,0.0483870967741935,0.0454545454545454,0.0026755852842809,1
P0AC69,0.0476190476190476,0.0,0.0454545454545454,1
P0AGJ9,0.0471204188481675,0.0,0.045,1
P0A717,0.0454545454545454,0.0401606425702811,0.0048682222595266,1
P0A6P9,0.0446927374301676,0.0474308300395256,-0.0025022702048229,1
P0A8F0,0.0442477876106194,0.031578947368421,0.011760636457973,1
P0A870,0.0439560439560439,0.0309734513274336,0.0120623447029591,1
P0A9P4,0.0418848167539267,0.0153846153846153,0.0250494898736104,1
P35340,0.0381231671554252,0.0222222222222222,0.0149840334070253,1
P64534,0.0377358490566037,0.0,0.0363636363636363,1
P0A9A6,0.0372340425531914,0.0051282051282051,0.0307953950811093,1
