organism,gene,<pLDDT>,std
Ecoli,A0A385XJ53,89.6198901098901,10.046162953974733
Ecoli,A0A385XJE6,92.88978527607355,7.069351781915391
Ecoli,A0A385XJK5,62.41531914893617,10.360748730658711
Ecoli,A0A385XJL2,58.47083333333333,5.976746897119052
Ecoli,A0A385XJL4,87.30179640718563,17.414689556285047
Ecoli,A0A385XJN2,60.53267441860464,7.585654058724792
Ecoli,A0A385XK32,50.13146067415729,8.75274294735005
Ecoli,A5A605,70.49421383647798,11.489619016166891
Ecoli,A5A607,79.80046875000002,15.593742077120984
Ecoli,A5A611,74.80877192982459,11.477477115986073
Ecoli,A5A612,58.339836065573785,6.416544571295409
Ecoli,A5A613,92.8978947368421,8.387705860541054
Ecoli,A5A614,86.98175438596493,14.53776245757947
Ecoli,A5A615,90.55612903225804,9.254491386459891
Ecoli,A5A616,92.28677419354838,8.521715860498752
Ecoli,A5A617,88.40370370370368,10.252542646925365
Ecoli,A5A618,96.32344827586208,5.067303081836203
Ecoli,A5A619,79.42296296296297,8.266725051234156
Ecoli,A5A621,91.15842105263158,5.369861571437281
Ecoli,A5A624,96.16518518518522,4.7568690063406445
Ecoli,A5A625,76.92747747747748,12.163834704482024
Ecoli,A5A627,93.32862068965515,7.135665990780799
Ecoli,A5A628,56.835652173913054,10.016093496093935
Ecoli,A5A630,79.54065934065936,15.411035064624052
Ecoli,A8DYP9,75.48821428571429,6.100187967579026
Ecoli,A8DYQ1,73.20682926829267,6.011327696787769
Ecoli,C1P5Z7,83.75418604651163,6.493583320284705
Ecoli,C1P5Z8,90.9160606060606,9.331823992480244
Ecoli,C1P5Z9,82.8494117647059,13.11822552140532
Ecoli,C1P600,74.02999999999999,10.348972803869865
Ecoli,C1P601,76.28726190476193,13.43152726407878
Ecoli,C1P602,87.07249999999999,11.476365114878492
Ecoli,C1P603,91.75291666666664,8.597231860297953
Ecoli,C1P604,89.8647619047619,8.360204838597594
Ecoli,C1P605,81.81392857142855,10.650778757337658
Ecoli,C1P606,78.34049999999999,8.090598540899181
Ecoli,C1P607,95.84263157894736,3.435840266652414
Ecoli,C1P608,91.75166666666668,7.450041946190637
Ecoli,C1P609,95.1977777777778,4.410094761166605
Ecoli,C1P610,94.62,2.7941444984576
Ecoli,C1P611,91.78884615384617,7.965202844934129
Ecoli,C1P612,87.08978260869567,6.451165883550728
Ecoli,C1P613,88.72538461538463,7.58837837686897
Ecoli,C1P614,81.9358536585366,10.330950414477318
Ecoli,C1P615,95.7763157894737,3.377470574146336
Ecoli,C1P616,95.65105263157896,3.186297793491509
Ecoli,C1P617,89.0142105263158,8.090555452787282
Ecoli,C1P618,90.9826923076923,8.671519056744287
Ecoli,C1P619,88.15312499999999,9.206373280742802
Ecoli,C1P620,74.94888888888889,9.50874503279825
