gene,F,CDF
P69441,0.05,0.006666666666666667
P27302,0.05,0.013333333333333334
P0A9R4,0.05,0.02
P45799,0.05,0.02666666666666667
P0A862,0.05,0.03333333333333333
P0A9A6,0.05,0.04
P0A7B5,0.05,0.04666666666666667
P0A836,0.05,0.05333333333333334
P0A731,0.05,0.06
P0AFG8,0.05,0.06666666666666667
P0A8A0,0.05,0.07333333333333333
P0A720,0.05,0.08
P0A7B8,0.05,0.08666666666666667
P0AFG3,0.05,0.09333333333333334
P77395,0.05,0.1
P62707,0.05,0.10666666666666667
P0A8F0,0.05,0.11333333333333333
P26616,0.05,0.12
P0A6K3,0.05,0.12666666666666668
P0AF93,0.05,0.13333333333333333
P07012,0.1,0.14
P38489,0.1,0.14666666666666667
P0AEP3,0.1,0.15333333333333332
P05020,0.1,0.16
P0ABZ6,0.1,0.16666666666666666
P22939,0.1,0.17333333333333334
P0A9M5,0.1,0.18
P00509,0.1,0.18666666666666668
P21889,0.1,0.19333333333333333
P37095,0.1,0.2
P0A8N5,0.1,0.20666666666666667
P0AD96,0.1,0.21333333333333335
P69503,0.1,0.22
P0A6R0,0.15,0.22666666666666666
P0AEG6,0.15,0.23333333333333334
P23869,0.15,0.24
P0A6Z3,0.15,0.24666666666666667
P24186,0.15,0.25333333333333335
P0A7Z0,0.15,0.26
P61949,0.15,0.26666666666666666
P37744,0.15,0.2733333333333333
P0A784,0.15,0.28
P18843,0.15,0.2866666666666667
P0A9M0,0.15,0.29333333333333333
P0AB91,0.2,0.3
P0A7E5,0.2,0.30666666666666664
P0ABT2,0.2,0.31333333333333335
P0ADV7,0.2,0.32
P0A9P4,0.2,0.32666666666666666
P61517,0.2,0.3333333333333333
P0A7K6,0.2,0.34
P07813,0.2,0.3466666666666667
P12281,0.2,0.35333333333333333
P30850,0.2,0.36
P04036,0.2,0.36666666666666664
P0A6Z1,0.25,0.37333333333333335
P13029,0.25,0.38
P0AF24,0.25,0.38666666666666666
P0AFL3,0.25,0.3933333333333333
P63224,0.25,0.4
P08200,0.25,0.4066666666666667
P06612,0.25,0.41333333333333333
P67095,0.25,0.42
P0A6T1,0.25,0.4266666666666667
P08244,0.25,0.43333333333333335
P0A8N3,0.25,0.44
P0AES6,0.3,0.44666666666666666
P15770,0.35,0.4533333333333333
P0A794,0.35,0.46
P07862,0.35,0.4666666666666667
P17169,0.35,0.47333333333333333
P03023,0.35,0.48
P60422,0.35,0.4866666666666667
P15042,0.35,0.49333333333333335
P23721,0.35,0.5
P0AES4,0.35,0.5066666666666667
P27828,0.35,0.5133333333333333
P37765,0.4,0.52
P21599,0.4,0.5266666666666666
P21165,0.4,0.5333333333333333
P27248,0.4,0.54
P30178,0.4,0.5466666666666666
P0A8Y5,0.4,0.5533333333333333
P37747,0.4,0.56
P0ACX3,0.45,0.5666666666666667
P21513,0.45,0.5733333333333334
P0A9Z1,0.45,0.58
P69924,0.45,0.5866666666666667
P0A790,0.45,0.5933333333333334
P60624,0.5,0.6
P0A7G6,0.5,0.6066666666666667
P0AC69,0.5,0.6133333333333333
P0A8I5,0.5,0.62
P00963,0.5,0.6266666666666667
P0AG67,0.5,0.6333333333333333
P23827,0.5,0.64
P0AB89,0.5,0.6466666666666666
P21888,0.5,0.6533333333333333
P0A7J3,0.55,0.66
P13035,0.55,0.6666666666666666
P0A855,0.55,0.6733333333333333
P0A6B4,0.55,0.68
P16456,0.55,0.6866666666666666
P60723,0.6,0.6933333333333334
P0A6L2,0.6,0.7
P0A8R0,0.6,0.7066666666666667
P0AAC8,0.6,0.7133333333333334
P0ADI7,0.6,0.72
P0A6I0,0.6,0.7266666666666667
P22259,0.6,0.7333333333333333
P0AA25,0.6,0.74
P60906,0.6,0.7466666666666667
P0AEQ3,0.6,0.7533333333333333
P0A763,0.6,0.76
P0ABP8,0.6,0.7666666666666667
P0A746,0.6,0.7733333333333333
P0ABK5,0.65,0.78
P00934,0.65,0.7866666666666666
P75823,0.65,0.7933333333333333
P23882,0.65,0.8
P76290,0.65,0.8066666666666666
P00962,0.65,0.8133333333333334
P0A9P6,0.65,0.82
P60438,0.65,0.8266666666666667
P22188,0.65,0.8333333333333334
P60546,0.65,0.84
Q57261,0.7,0.8466666666666667
P04425,0.7,0.8533333333333334
P0AB77,0.7,0.86
P0ACP7,0.7,0.8666666666666667
P61316,0.7,0.8733333333333333
P0A8M3,0.7,0.88
P06715,0.7,0.8866666666666667
P65556,0.75,0.8933333333333333
P0AGE9,0.75,0.9
P09158,0.75,0.9066666666666666
P0AA43,0.75,0.9133333333333333
P00370,0.75,0.92
P04816,0.75,0.9266666666666666
Q46856,0.8,0.9333333333333333
P45748,0.8,0.94
P04951,0.8,0.9466666666666667
P0AES0,0.8,0.9533333333333334
P12758,0.8,0.96
P33136,0.8,0.9666666666666667
P31142,0.9,0.9733333333333334
P0A6F3,0.9,0.98
P0AFG6,0.9,0.9866666666666667
P00864,0.9,0.9933333333333333
P0AGJ9,0.95,1.0
