gene,F,CDF
P38489,0.05,0.004405286343612335
P0A9C5,0.05,0.00881057268722467
P0AB55,0.05,0.013215859030837005
P67603,0.05,0.01762114537444934
P08200,0.05,0.022026431718061675
P0A7B5,0.05,0.02643171806167401
P61949,0.05,0.030837004405286344
P04825,0.05,0.03524229074889868
P09030,0.05,0.039647577092511016
P0A9M8,0.05,0.04405286343612335
P0A7V0,0.05,0.048458149779735685
P51020,0.05,0.05286343612334802
P02925,0.05,0.05726872246696035
P07012,0.05,0.06167400881057269
P08312,0.05,0.06607929515418502
P0A720,0.05,0.07048458149779736
P32662,0.05,0.07488986784140969
P0AES6,0.05,0.07929515418502203
P0A6B7,0.05,0.08370044052863436
P0AAG0,0.05,0.0881057268722467
P00509,0.05,0.09251101321585903
P39172,0.05,0.09691629955947137
P0A6Y5,0.05,0.1013215859030837
P0A749,0.05,0.10572687224669604
P0A7Y0,0.05,0.11013215859030837
P0A9X4,0.05,0.1145374449339207
P0AFK9,0.05,0.11894273127753303
P00954,0.05,0.12334801762114538
P04079,0.05,0.1277533039647577
P23869,0.1,0.13215859030837004
P07118,0.1,0.13656387665198239
P77395,0.1,0.14096916299559473
P45578,0.1,0.14537444933920704
P0A7V3,0.1,0.14977973568281938
P0A7E5,0.1,0.15418502202643172
P45577,0.1,0.15859030837004406
P0A715,0.1,0.16299559471365638
P0A6K6,0.1,0.16740088105726872
P0A7X6,0.1,0.17180616740088106
P0A7L0,0.1,0.1762114537444934
P0ACA3,0.1,0.18061674008810572
P0A8E1,0.1,0.18502202643171806
P0AC53,0.1,0.1894273127753304
P69783,0.15,0.19383259911894274
P0ADV7,0.15,0.19823788546255505
P05020,0.15,0.2026431718061674
P18843,0.15,0.20704845814977973
P07813,0.15,0.21145374449339208
P0AFQ7,0.15,0.21585903083700442
P35340,0.15,0.22026431718061673
P0A9K3,0.15,0.22466960352422907
P0A7K6,0.15,0.2290748898678414
P0A6J8,0.15,0.23348017621145375
P0A7Z0,0.15,0.23788546255506607
P13029,0.15,0.2422907488986784
P67095,0.15,0.24669603524229075
P60906,0.15,0.2511013215859031
P77580,0.2,0.2555066079295154
P0AF24,0.2,0.2599118942731278
P33920,0.2,0.2643171806167401
P27828,0.2,0.2687224669603524
P76658,0.2,0.27312775330396477
P0A8Y5,0.2,0.2775330396475771
P09424,0.2,0.28193832599118945
P04816,0.2,0.28634361233480177
P16456,0.2,0.2907488986784141
P21888,0.2,0.29515418502202645
P00959,0.25,0.29955947136563876
P0A794,0.25,0.3039647577092511
P0AFG6,0.25,0.30837004405286345
P0A7E9,0.25,0.31277533039647576
P0A825,0.25,0.31718061674008813
P0A8N5,0.25,0.32158590308370044
P0AC69,0.25,0.32599118942731276
P0A6D7,0.25,0.3303964757709251
P00962,0.25,0.33480176211453744
P10408,0.25,0.3392070484581498
P37744,0.25,0.3436123348017621
P0A959,0.25,0.34801762114537443
P0A6T1,0.25,0.3524229074889868
P0AD96,0.25,0.3568281938325991
P37902,0.25,0.36123348017621143
P0A9P4,0.25,0.3656387665198238
P0AFD1,0.25,0.3700440528634361
P0A6R0,0.25,0.3744493392070485
P0A7G6,0.3,0.3788546255506608
P27298,0.3,0.3832599118942731
P69924,0.3,0.3876651982378855
P27248,0.3,0.3920704845814978
P0AA43,0.3,0.3964757709251101
P0ADF6,0.3,0.4008810572687225
P0AE52,0.3,0.4052863436123348
P62617,0.3,0.40969162995594716
P0AES4,0.3,0.41409691629955947
P29217,0.3,0.4185022026431718
P0A6W5,0.3,0.42290748898678415
P37765,0.3,0.42731277533039647
P27829,0.3,0.43171806167400884
P30850,0.3,0.43612334801762115
P0AEZ3,0.35,0.44052863436123346
P08244,0.35,0.44493392070484583
P23721,0.35,0.44933920704845814
P0A855,0.35,0.45374449339207046
P0A784,0.35,0.4581497797356828
P37095,0.35,0.46255506607929514
P65556,0.35,0.4669603524229075
P12996,0.35,0.4713656387665198
P63224,0.35,0.47577092511013214
P75849,0.35,0.4801762114537445
P33136,0.35,0.4845814977973568
P03023,0.35,0.4889867841409692
P02358,0.35,0.4933920704845815
P0AB91,0.35,0.4977973568281938
P61517,0.35,0.5022026431718062
P21165,0.35,0.5066079295154186
P0AFL3,0.4,0.5110132158590308
P77690,0.4,0.5154185022026432
P00370,0.4,0.5198237885462555
P0ABK5,0.4,0.5242290748898678
P06715,0.4,0.5286343612334802
P37745,0.4,0.5330396475770925
P0A9Z1,0.45,0.5374449339207048
P64534,0.45,0.5418502202643172
P60438,0.45,0.5462555066079295
P24186,0.45,0.5506607929515418
P0A763,0.45,0.5550660792951542
P60546,0.45,0.5594713656387665
P00561,0.45,0.5638766519823789
P07862,0.45,0.5682819383259912
P17169,0.45,0.5726872246696035
P0AGG4,0.45,0.5770925110132159
P45565,0.45,0.5814977973568282
P30178,0.45,0.5859030837004405
P00963,0.45,0.5903083700440529
P60624,0.45,0.5947136563876652
P0ABT2,0.45,0.5991189427312775
P60422,0.45,0.6035242290748899
P04036,0.45,0.6079295154185022
P0A9P6,0.45,0.6123348017621145
P0AEQ3,0.5,0.6167400881057269
P77718,0.5,0.6211453744493393
P0A8C4,0.5,0.6255506607929515
P23827,0.5,0.6299559471365639
P0A8M3,0.5,0.6343612334801763
P0A8I5,0.5,0.6387665198237885
P0AGE9,0.5,0.6431718061674009
P23893,0.5,0.6475770925110133
P00579,0.5,0.6519823788546255
P27306,0.5,0.6563876651982379
P76569,0.5,0.6607929515418502
P0AED7,0.5,0.6651982378854625
P0AEM9,0.5,0.6696035242290749
P30859,0.55,0.6740088105726872
P0A7W1,0.55,0.6784140969162996
P0A7I4,0.55,0.6828193832599119
P0C0V0,0.55,0.6872246696035242
P22259,0.55,0.6916299559471366
P37747,0.55,0.6960352422907489
P0A9L3,0.55,0.7004405286343612
P15042,0.55,0.7048458149779736
P23882,0.6,0.7092511013215859
P00946,0.6,0.7136563876651982
P64554,0.6,0.7180616740088106
P61316,0.6,0.7224669603524229
P60723,0.6,0.7268722466960352
P00864,0.6,0.7312775330396476
P45748,0.6,0.73568281938326
P31142,0.6,0.7400881057268722
P0AC33,0.6,0.7444933920704846
P62620,0.6,0.748898678414097
P0A8R0,0.6,0.7533039647577092
P0A8A2,0.6,0.7577092511013216
P0A790,0.6,0.762114537444934
P37051,0.6,0.7665198237885462
P21170,0.6,0.7709251101321586
P0AFG0,0.6,0.775330396475771
P76177,0.6,0.7797356828193832
P0A6F3,0.6,0.7841409691629956
P0ADS6,0.6,0.788546255506608
P09831,0.6,0.7929515418502202
P0A746,0.6,0.7973568281938326
P0AFG3,0.6,0.801762114537445
P02359,0.6,0.8061674008810573
P0A9A6,0.6,0.8105726872246696
Q57261,0.65,0.8149779735682819
P04951,0.65,0.8193832599118943
P0ABP8,0.65,0.8237885462555066
P12758,0.65,0.8281938325991189
P12281,0.65,0.8325991189427313
P0AB77,0.65,0.8370044052863436
P00961,0.65,0.8414096916299559
P13035,0.65,0.8458149779735683
P37647,0.65,0.8502202643171806
P0A8J4,0.65,0.8546255506607929
P0AA25,0.65,0.8590308370044053
P0A6I0,0.65,0.8634361233480177
P0A6L2,0.65,0.8678414096916299
P33602,0.65,0.8722466960352423
P31120,0.65,0.8766519823788547
P07004,0.65,0.8810572687224669
P22188,0.65,0.8854625550660793
P75823,0.7,0.8898678414096917
P76290,0.7,0.8942731277533039
P21599,0.7,0.8986784140969163
P09158,0.7,0.9030837004405287
P06612,0.7,0.9074889867841409
P04425,0.7,0.9118942731277533
P0ADI7,0.7,0.9162995594713657
P25437,0.7,0.920704845814978
Q46856,0.7,0.9251101321585903
P07395,0.7,0.9295154185022027
P0A707,0.7,0.933920704845815
P46837,0.7,0.9383259911894273
P0AB89,0.7,0.9427312775330396
P0AFK0,0.75,0.947136563876652
P00934,0.75,0.9515418502202643
P0AAC8,0.75,0.9559471365638766
P0AEI1,0.75,0.960352422907489
P36938,0.75,0.9647577092511013
P0AAB6,0.75,0.9691629955947136
P25745,0.75,0.973568281938326
P05459,0.75,0.9779735682819384
P0AES0,0.75,0.9823788546255506
P0A9Q7,0.8,0.986784140969163
P0AGJ9,0.8,0.9911894273127754
P0A6B4,0.8,0.9955947136563876
P0ACP7,0.85,1.0
