,motif,D_type,Ess_n,NonEss_n,Ess_hits,NonEss_hits,Ess_mean,Ess_lower_ci,Ess_upper_ci,NonEss_mean,NonEss_lower_ci,NonEss_upper_ci,ratio,proportion,abs_diff,p_value,OnlyEnt,buff,spa,q_value,label
275,Schymkowitz,Loop,81,183,1,3,4.978096375945838e-05,0.0,0.0002734900401174,3.31780711308491e-05,9.50344499881207e-06,9.289080048572698e-05,1.500417657287251,0.6000668140038179,1.660289262860928e-05,0.8507,True,C,30,1.0,EXP
351,Schymkowitz,All,81,183,4,5,0.0001436676713517,2.083535248968416e-05,0.0004332366208592,5.818231444776735e-05,2.1179686183249976e-05,0.0001283255294835,2.4692670395701777,0.711754676537124,8.548535690401231e-05,0.2429,True,C,40,0.8886558139534884,EXP
352,Schymkowitz,Thread,81,183,1,1,4.978096375945838e-05,0.0,0.0002904052254746,1.2767478678310609e-05,0.0,7.660487206986363e-05,3.8990442054958185,0.7958785513961713,3.7013485081147775e-05,0.3061,True,C,40,0.8886558139534884,EXP
353,Schymkowitz,Loop,81,183,1,3,4.978096375945838e-05,0.0,0.0002489048187972,3.31780711308491e-05,9.50344499881207e-06,9.234772838798924e-05,1.500417657287251,0.6000668140038179,1.660289262860928e-05,0.8534,True,C,40,1.0,EXP
429,Schymkowitz,All,81,183,4,5,0.0001436676713517,2.083535248968416e-05,0.0004391132728354,5.818231444776735e-05,2.1814294907452853e-05,0.0001299663289541,2.4692670395701777,0.711754676537124,8.548535690401231e-05,0.2453,True,C,50,0.87048,EXP
430,Schymkowitz,Thread,81,183,1,1,4.978096375945838e-05,0.0,0.0002690747884215,1.2767478678310609e-05,0.0,6.383739339155304e-05,3.8990442054958185,0.7958785513961713,3.7013485081147775e-05,0.3048,True,C,50,0.87048,EXP
431,Schymkowitz,Loop,81,183,1,3,4.978096375945838e-05,0.0,0.0002986857825567,3.31780711308491e-05,9.50344499881207e-06,9.329480207323378e-05,1.500417657287251,0.6000668140038179,1.660289262860928e-05,0.8507,True,C,50,1.0,EXP
507,Schymkowitz,All,80,182,4,5,0.0001454635172436,2.109579439580521e-05,0.0004629185021704,5.8501997494183655e-05,2.193415367068061e-05,0.0001301067948922,2.486470949272101,0.713177016372737,8.696151974949326e-05,0.2158,True,C,60,0.948257142857143,EXP
508,Schymkowitz,Thread,80,182,1,1,5.040322580645161e-05,0.0,0.0002520161290322,1.2837629660059564e-05,0.0,7.702577796035739e-05,3.9262096774193553,0.7970041745109273,3.756559614639205e-05,0.3006,True,C,60,0.948257142857143,EXP
509,Schymkowitz,Loop,80,182,1,3,5.040322580645161e-05,0.0,0.0002520161290322,3.336036822497465e-05,9.555661729574774e-06,9.761957241802008e-05,1.5108713868667114,0.6017318906772485,1.7042857581476966e-05,0.8457,True,C,60,1.0,EXP
585,Schymkowitz,All,72,166,2,5,2.343977155089468e-05,0.0,8.066871024798126e-05,6.4140744240611e-05,2.3348690189968343e-05,0.0001456774039366,0.3654427747667712,0.2676368292542994,4.070097268971632e-05,0.3281,True,C,70,0.9478444444444444,EXP
586,Schymkowitz,Thread,72,166,0,1,0.0,,,1.4074991555005066e-05,0.0,7.212718633254723e-05,0.0,0.0,1.4074991555005066e-05,1.0,True,C,70,1.0,EXP
587,Schymkowitz,Loop,72,166,0,3,0.0,,,3.6575825403285456e-05,1.0476689366160294e-05,0.0001028490890325,0.0,0.0,3.6575825403285456e-05,0.4427,True,C,70,0.9585567567567568,EXP
663,Schymkowitz,All,59,125,2,5,2.8604466977363e-05,0.0,9.844317182804494e-05,8.517890835153139e-05,3.1007060572277964e-05,0.0001906625341788,0.3358163133450011,0.2513940801516996,5.657444137416839e-05,0.3037,True,C,80,1.0,EXP
664,Schymkowitz,Thread,59,125,0,1,0.0,,,1.8691588785046727e-05,0.0,9.345794392523364e-05,0.0,0.0,1.8691588785046727e-05,1.0,True,C,80,1.0,EXP
665,Schymkowitz,Loop,59,125,0,3,0.0,,,4.857269613556309e-05,1.391304347826087e-05,0.0001385002439067,0.0,0.0,4.857269613556309e-05,0.3824,True,C,80,1.0,EXP
741,Schymkowitz,All,41,65,2,2,4.116252565035163e-05,0.0,0.0001416621253135,5.962896263899608e-05,0.0,0.0002117599977131,0.6903109467048184,0.4083928747255332,1.846643698864445e-05,0.7572,True,C,90,1.0,EXP
742,Schymkowitz,Thread,41,65,0,0,0.0,,,0.0,,,,,0.0,1.0,True,C,90,1.0,EXP
743,Schymkowitz,Loop,41,65,0,1,0.0,,,2.6755852842809364e-05,0.0,0.000133779264214,0.0,0.0,2.6755852842809364e-05,1.0,True,C,90,1.0,EXP
39,Schymkowitz,All,98,303,6,8,0.0001948576376593,7.099831215192533e-05,0.0004513388879622,7.989697275543073e-05,3.4947729947295265e-05,0.0001689814803782,2.43886133528301,0.7092060707013933,0.0001149606649039,0.1212,True,C,0,0.6752571428571429,AF
40,Schymkowitz,Thread,98,303,1,2,4.114549045424621e-05,0.0,0.0002125533534832,2.886701322900083e-05,0.0,0.0001240016825517,1.4253462984840422,0.587687745611813,1.227847722524538e-05,0.8573,True,C,0,0.9838323529411764,AF
41,Schymkowitz,Loop,98,303,4,5,0.0001032733137935,1.833348156828679e-05,0.0003093436824349,5.6544574976565904e-05,1.5422102957959347e-05,0.0001427052700478,1.8264053419161137,0.6461937057753836,4.6728738817010274e-05,0.4898,True,C,0,0.8825142857142857,AF
117,Schymkowitz,All,98,303,6,8,0.0001948576376593,6.798281883852052e-05,0.0004517323439585,7.989697275543073e-05,3.4635286099024256e-05,0.0001723178576634,2.43886133528301,0.7092060707013933,0.0001149606649039,0.1215,True,C,10,0.6769285714285714,AF
118,Schymkowitz,Thread,98,303,1,2,4.114549045424621e-05,0.0,0.0002468729427254,2.886701322900083e-05,0.0,0.000121201911708,1.4253462984840422,0.587687745611813,1.227847722524538e-05,0.8555,True,C,10,0.9819970588235292,AF
119,Schymkowitz,Loop,98,303,4,5,0.0001032733137935,1.833348156828679e-05,0.0003085219973791,5.6544574976565904e-05,1.7219113215669396e-05,0.0001438624561733,1.8264053419161137,0.6461937057753836,4.6728738817010274e-05,0.4771,True,C,10,0.8699600000000001,AF
195,Schymkowitz,All,98,303,6,8,0.0001948576376593,6.708260960275138e-05,0.0004599315525048,7.989697275543073e-05,3.534105331253308e-05,0.0001706352330339,2.43886133528301,0.7092060707013933,0.0001149606649039,0.1201,True,C,20,0.6691285714285714,AF
196,Schymkowitz,Thread,98,303,1,2,4.114549045424621e-05,0.0,0.0002468729427254,2.886701322900083e-05,0.0,0.000113490860229,1.4253462984840422,0.587687745611813,1.227847722524538e-05,0.858,True,C,20,0.9841764705882352,AF
197,Schymkowitz,Loop,98,303,4,5,0.0001032733137935,2.1459687976136823e-05,0.0003169473200151,5.6544574976565904e-05,1.9190460289425936e-05,0.0001484192130581,1.8264053419161137,0.6461937057753836,4.6728738817010274e-05,0.483,True,C,20,0.8831333333333333,AF
273,Schymkowitz,All,98,303,6,8,0.0001948576376593,6.708260960275138e-05,0.0004595894861177,7.989697275543073e-05,3.538861322654475e-05,0.00016742318798,2.43886133528301,0.7092060707013933,0.0001149606649039,0.1183,True,C,30,0.6591,AF
274,Schymkowitz,Thread,98,303,1,2,4.114549045424621e-05,0.0,0.0002263493033822,2.886701322900083e-05,0.0,0.000121201911708,1.4253462984840422,0.587687745611813,1.227847722524538e-05,0.8551,True,C,30,0.995489552238806,AF
275,Schymkowitz,Loop,98,303,4,5,0.0001032733137935,2.1459687976136823e-05,0.0003181030577958,5.6544574976565904e-05,1.806689390626123e-05,0.0001470951660546,1.8264053419161137,0.6461937057753836,4.6728738817010274e-05,0.4823,True,C,30,0.8822666666666668,AF
351,Schymkowitz,All,98,303,6,8,0.0001948576376593,6.212782333932997e-05,0.0004474526257473,7.989697275543073e-05,3.5039404976445487e-05,0.0001685592393578,2.43886133528301,0.7092060707013933,0.0001149606649039,0.1211,True,C,40,0.6747,AF
352,Schymkowitz,Thread,98,303,1,2,4.114549045424621e-05,0.0,0.0002057274522712,2.886701322900083e-05,0.0,0.0001269357705001,1.4253462984840422,0.587687745611813,1.227847722524538e-05,0.8573,True,C,40,0.9980507462686566,AF
353,Schymkowitz,Loop,98,303,4,5,0.0001032733137935,2.1459687976136823e-05,0.0003179241177883,5.6544574976565904e-05,1.806689390626123e-05,0.0001457680928631,1.8264053419161137,0.6461937057753836,4.6728738817010274e-05,0.4821,True,C,40,0.8775866666666666,AF
429,Schymkowitz,All,98,302,6,8,0.0001948576376593,6.708260960275138e-05,0.0004577334340244,8.016153226786593e-05,3.591155226666308e-05,0.0001701491996546,2.430812287971845,0.7085238374871395,0.0001146961053915,0.1262,True,C,50,0.7031142857142857,AF
430,Schymkowitz,Thread,98,302,1,2,4.114549045424621e-05,0.0,0.0002057274522712,2.89625993655207e-05,0.0,0.0001216032425415,1.4206421852877251,0.5868864857111722,1.2182891088725512e-05,0.857,True,C,50,1.0,AF
431,Schymkowitz,Loop,98,302,4,5,0.0001032733137935,1.833348156828679e-05,0.0003116496173816,5.6731808668541285e-05,1.9254004859920723e-05,0.0001453806241593,1.8203776015137505,0.6454375472761942,4.654150512503489e-05,0.4837,True,C,50,0.8938800000000001,AF
507,Schymkowitz,All,98,294,6,8,0.0001948576376593,6.798281883852052e-05,0.0004586980143535,8.234279845202553e-05,3.653984011026934e-05,0.0001809552962278,2.366419909482525,0.7029485248755801,0.0001125148392073,0.1419,True,C,60,0.73788,AF
508,Schymkowitz,Thread,98,294,1,2,4.114549045424621e-05,0.0,0.0002057274522712,2.9750697307439632e-05,0.0,0.0001255520963205,1.3830092797171891,0.5803625237587502,1.139479314680658e-05,1.0,True,C,60,1.0,AF
509,Schymkowitz,Loop,98,294,4,5,0.0001032733137935,2.1459687976136823e-05,0.0003242412542823,5.827553135339955e-05,1.9493695247777143e-05,0.0001512842381302,1.772155678294843,0.6392698982132557,4.499778244017663e-05,0.4972,True,C,60,0.8646382978723405,AF
585,Schymkowitz,All,89,259,4,7,0.0001027711310425,2.018742914260793e-05,0.0003088759037936,7.551204615520399e-05,3.186769829320448e-05,0.0001761679563584,1.3609898853932212,0.5764488419934714,2.725908488737472e-05,0.7003,True,C,70,0.9359999999999998,AF
586,Schymkowitz,Thread,89,259,0,2,0.0,,,3.3771061808444985e-05,0.0,0.0001417921978669,0.0,0.0,3.3771061808444985e-05,0.8138,True,C,70,0.9359999999999998,AF
587,Schymkowitz,Loop,89,259,3,4,6.841041221634087e-05,1.181488439135623e-05,0.0002959703708438,4.819244566487179e-05,1.3429578646969953e-05,0.0001466683168614,1.4195256387705235,0.5866958448482704,2.0217966551469083e-05,0.8115,True,C,70,0.9359999999999998,AF
663,Schymkowitz,All,75,196,4,6,0.0001219550755038,2.395574924922808e-05,0.00035592980674,6.707838542827257e-05,2.3656898656898657e-05,0.0001392772653222,1.818097956968084,0.6451507310001838,5.487669007558749e-05,0.4162,True,C,80,1.0,AF
664,Schymkowitz,Thread,75,196,0,1,0.0,,,1.1920656112912454e-05,0.0,7.152393667747472e-05,0.0,0.0,1.1920656112912454e-05,1.0,True,C,80,1.0,AF
665,Schymkowitz,Loop,75,196,3,3,8.118035583005783e-05,1.4020329477742726e-05,0.0003620502090089,3.0977484780333604e-05,8.873114463176575e-06,8.988491269126491e-05,2.620624508597808,0.7238045542625797,5.020287104972423e-05,0.3038,True,C,80,0.9568,AF
741,Schymkowitz,All,50,93,4,3,0.0001829326132557,3.593362387384211e-05,0.0005314116816946,6.855787711327683e-05,1.8700327255726977e-05,0.0001908791950867,2.668294599518217,0.7273937594512346,0.0001143747361425,0.2197,True,C,90,1.0,AF
742,Schymkowitz,Thread,50,93,0,0,0.0,,,0.0,,,,,0.0,1.0,True,C,90,1.0,AF
743,Schymkowitz,Loop,50,93,3,1,0.000121770533745,2.103049421661409e-05,0.0004787820771901,1.8700327255726977e-05,0.0,0.0001122019635343,6.5116792920185125,0.8668739756950827,0.0001030702064893,0.0952,True,C,90,1.0,AF
